"u10","v10","d2m","t2m","tp","date"
2.1228244304657,-1.29885351657867,271.416290283203,278.350219726562,0,2024-01-01
1.908447265625,-1.94624269008636,270.114410400391,277.026336669922,0,2024-01-02
0.840054214000702,0.492176055908203,270.949005126953,276.727447509766,3.3775964425331e-07,2024-01-03
1.65433943271637,-2.94059371948242,270.085968017578,278.400787353516,1.31130218505859e-06,2024-01-04
-0.667056381702423,0.00452232360839844,266.863006591797,274.047088623047,0,2024-01-05
-0.96858149766922,0.286076217889786,275.495147705078,278.372772216797,0.000842193781863898,2024-01-06
3.38783574104309,-0.194050475955009,275.367767333984,281.209808349609,1.08679132608813e-05,2024-01-07
-0.881355285644531,-0.717375457286835,270.403686523438,277.218658447266,3.97364310344983e-08,2024-01-08
-1.77160394191742,4.76321077346802,280.258026123047,282.645843505859,0.00241883588023484,2024-01-09
4.59470129013062,1.53763520717621,272.485565185547,280.573638916016,2.43186950683594e-05,2024-01-10
1.69351196289062,1.34841787815094,272.473968505859,278.713226318359,0,2024-01-11
-1.42575204372406,1.51955604553223,275.833282470703,279.526306152344,0.000330666691297665,2024-01-12
4.92538642883301,1.36695802211761,274.395690917969,282.361053466797,5.02665825479198e-05,2024-01-13
2.57058906555176,1.36881577968597,269.055084228516,278.55712890625,0,2024-01-14
-1.41637933254242,-1.25571310520172,270.443267822266,277.568481445312,1.21394796224195e-05,2024-01-15
0.666968643665314,-2.37795066833496,269.632049560547,274,0.000203986957785673,2024-01-16
2.32908701896667,-1.10208892822266,258.607879638672,270.358032226562,0,2024-01-17
1.39845907688141,2.24272465705872,264.021423339844,275.051910400391,0,2024-01-18
3.70770764350891,-1.0358110666275,267.866058349609,278.056091308594,3.01996874441102e-06,2024-01-19
3.03766250610352,-3.64932513237,257.965698242188,270.590606689453,0,2024-01-20
1.63507211208344,-2.42341685295105,258.823333740234,270.12255859375,0,2024-01-21
0.644229888916016,1.33194100856781,263.101654052734,273.353149414062,0,2024-01-22
0.8968785405159,0.838207900524139,270.323699951172,277.772918701172,4.18225936300587e-05,2024-01-23
-0.695926666259766,2.55077362060547,283.591064453125,286.064697265625,7.45058059692383e-06,2024-01-24
0.816849410533905,3.35547065734863,290.526031494141,290.912963867188,0.000558376312255859,2024-01-25
2.10802531242371,2.80227160453796,289.984161376953,292.558868408203,5.56707382202148e-05,2024-01-26
-1.15867102146149,-0.707710266113281,285.039642333984,287.449493408203,0.000726322352420539,2024-01-27
2.51945948600769,0.669379532337189,281.7216796875,286.278778076172,0.00023092825722415,2024-01-28
2.37144541740417,-3.22748947143555,271.828460693359,280.694580078125,0,2024-01-29
-1.12800848484039,-0.0436134338378906,271.61376953125,277.173675537109,3.22858504659962e-05,2024-01-30
-0.874701797962189,-1.13495695590973,276.037475585938,278.428375244141,0.000137587383505888,2024-01-31
1.92093515396118,-0.06268310546875,273.661285400391,278.671752929688,0,2024-02-01
1.73107850551605,-1.76059782505035,275.449157714844,283.077087402344,0,2024-02-02
-0.922756195068359,-1.46005570888519,271.801422119141,277.787261962891,0,2024-02-03
-1.60683691501617,-0.79876834154129,270.921173095703,277.590942382812,0,2024-02-04
-2.09374499320984,-1.84521043300629,270.180938720703,278.929656982422,0,2024-02-05
-1.94956588745117,-3.18169403076172,269.116790771484,277.981597900391,0,2024-02-06
-1.01038801670074,-1.98143446445465,267.194793701172,276.351654052734,0,2024-02-07
0.217830657958984,1.93521690368652,269.991241455078,277.818603515625,0,2024-02-08
2.47440457344055,2.0344295501709,275.515899658203,282.787445068359,3.00407409667969e-05,2024-02-09
3.02578234672546,1.69641816616058,283.559326171875,287.759613037109,0.000124017402413301,2024-02-10
0.375652939081192,0.092629112303257,285.792633056641,286.559356689453,0.000834842503536493,2024-02-11
-1.03429222106934,0.697031021118164,285.583374023438,286.115478515625,0.000553826510440558,2024-02-12
3.35396766662598,-1.18156182765961,274.93115234375,283.897491455078,0.000147422149893828,2024-02-13
2.9959819316864,-0.474804550409317,271.770660400391,281.028778076172,1.9868214451435e-07,2024-02-14
0.950113952159882,1.32347047328949,273.448638916016,282.294586181641,0,2024-02-15
0.936184585094452,-0.17144139111042,272.541900634766,283.118133544922,0,2024-02-16
2.19479823112488,-2.23673439025879,270.272369384766,280.277984619141,0,2024-02-17
1.52597749233246,0.162766769528389,265.176361083984,275.048461914062,0,2024-02-18
0.0373776741325855,-1.38913154602051,267.2529296875,277.893524169922,0,2024-02-19
-1.86926019191742,-0.204235076904297,269.935974121094,277.434051513672,0,2024-02-20
-1.03599226474762,-0.314133316278458,271.420379638672,278.008148193359,0,2024-02-21
1.19268667697906,3.81158638000488,273.286010742188,283.405364990234,2.08020210266113e-05,2024-02-22
2.58811950683594,1.18200302124023,279.313446044922,284.714813232422,0.000174025699379854,2024-02-23
2.97938227653503,-1.3315601348877,273.631500244141,281.019958496094,6.91215172992088e-05,2024-02-24
0.663218200206757,-0.444529205560684,269.154510498047,277.705780029297,0,2024-02-25
2.10446238517761,3.18266749382019,274.136016845703,285.115356445312,3.33786010742188e-06,2024-02-26
1.48142874240875,4.54352903366089,280.623870849609,285.635192871094,0.000120262302516494,2024-02-27
3.84484100341797,4.07177782058716,283.803070068359,289.641632080078,0.000472962856292725,2024-02-28
1.16665780544281,-1.58522164821625,265.691680908203,278.799926757812,0,2024-02-29
-1.92025315761566,-0.350859969854355,273.83642578125,278.582580566406,0.000710646330844611,2024-03-01
-0.236836120486259,-0.824312210083008,282.931030273438,284.927429199219,0.000293771416181698,2024-03-02
-0.688255310058594,0.70525997877121,283.955596923828,287.337493896484,4.88758087158203e-06,2024-03-03
-1.47718298435211,-1.62589073181152,283.203369140625,287.263214111328,0,2024-03-04
-0.128789901733398,-0.102424621582031,283.696990966797,288.418670654297,1.07288360595703e-06,2024-03-05
-1.37605285644531,-0.975018799304962,285.679290771484,286.843780517578,0.000178337097167969,2024-03-06
0.0109221143648028,-1.04133415222168,284.638000488281,288.641937255859,5.34653663635254e-05,2024-03-07
-2.49746775627136,0.894621551036835,281.705993652344,286.488067626953,8.26517771201907e-06,2024-03-08
-1.41511535644531,1.67423820495605,283.691741943359,284.717437744141,0.00117323792073876,2024-03-09
4.53575325012207,-2.42417073249817,272.401214599609,283.355560302734,0,2024-03-10
3.34018445014954,-1.02871453762054,266.056365966797,281.439758300781,0,2024-03-11
2.13298606872559,0.315769195556641,269.972747802734,284.289642333984,0,2024-03-12
1.61748826503754,0.0754292830824852,274.098571777344,287.284301757812,0,2024-03-13
1.52372491359711,0.998114287853241,276.919464111328,289.529510498047,0,2024-03-14
2.81511116027832,2.19535326957703,284.535003662109,290.513671875,0.00020084778952878,2024-03-15
0.83709591627121,-0.518987655639648,283.32666015625,289.440612792969,3.97364289028701e-07,2024-03-16
2.3788001537323,1.23999655246735,281.897308349609,289.876678466797,2.18550368913384e-07,2024-03-17
2.41784930229187,-2.57661437988281,268.850677490234,284.755310058594,7.94728620689966e-08,2024-03-18
2.85943984985352,-0.367937713861465,265.996368408203,279.236602783203,0,2024-03-19
3.83516764640808,1.01246893405914,270.605743408203,285.895202636719,0,2024-03-20
-0.347673416137695,-1.3079776763916,270.614013671875,284.637786865234,0,2024-03-21
-2.43958973884583,0.66485595703125,279.924530029297,283.693878173828,0.000327666610246524,2024-03-22
-0.568769454956055,-3.22773432731628,282.349243164062,286.616485595703,0.000622828782070428,2024-03-23
-1.99583566188812,-3.25992774963379,268.704833984375,279.430938720703,0,2024-03-24
-2.24615931510925,-0.805133819580078,272.065521240234,280.705444335938,0,2024-03-25
-2.38994216918945,0.274796158075333,274.915802001953,282.416015625,2.30669975280762e-05,2024-03-26
-1.50139999389648,-0.871782958507538,281.641967773438,283.136352539062,0.00180794799234718,2024-03-27
0.654850125312805,-3.60864758491516,278.148345947266,285.013946533203,1.80602073669434e-05,2024-03-28
3.84187412261963,-0.859144866466522,272.669616699219,285.853363037109,5.16573607001192e-07,2024-03-29
3.09489178657532,1.67692375183105,274.831329345703,289.257965087891,0,2024-03-30
2.78441619873047,1.59168756008148,281.308837890625,292.492950439453,2.7815499947792e-07,2024-03-31
2.63340640068054,2.08434867858887,286.428955078125,293.436126708984,0,2024-04-01
2.59601974487305,2.75520133972168,289.050323486328,295.093536376953,5.16573607001192e-07,2024-04-02
2.78336644172668,2.94274711608887,286.500152587891,291.851043701172,0.000663936138153076,2024-04-03
4.6321849822998,0.115168891847134,272.446258544922,283.091705322266,1.34706497192383e-05,2024-04-04
3.08025288581848,-1.74056684970856,272.073120117188,282.169586181641,0,2024-04-05
1.79589593410492,-3.29418253898621,270.745330810547,282.350921630859,0,2024-04-06
0.427023559808731,-0.90162593126297,274.18603515625,283.462066650391,0,2024-04-07
1.10254228115082,2.47385334968567,279.644653320312,288.174743652344,4.28756065957714e-05,2024-04-08
2.55762553215027,1.92372763156891,285.017700195312,288.587677001953,0.000143210098030977,2024-04-09
0.827180206775665,1.98185157775879,287.356079101562,290.279449462891,0.00010440746700624,2024-04-10
-1.53181517124176,5.13654470443726,289.90966796875,292.213348388672,0.000787675380706787,2024-04-11
5.59228515625,1.04123878479004,279.652740478516,289.252532958984,3.70939560525585e-05,2024-04-12
4.55790901184082,-1.22359526157379,275.836944580078,288.161590576172,0,2024-04-13
2.21953392028809,1.83398056030273,278.582763671875,290.804473876953,0,2024-04-14
2.82473254203796,1.86833763122559,283.010955810547,295.474273681641,0,2024-04-15
-0.9019495844841,-0.332380294799805,286.812133789062,294.469482421875,0,2024-04-16
1.29045045375824,3.24571800231934,287.66455078125,293.444854736328,7.94728620689966e-08,2024-04-17
2.12691760063171,0.0167420711368322,285.886444091797,295.543853759766,0,2024-04-18
-1.60372674465179,0.512048721313477,287.735565185547,291.82080078125,0.00014263391494751,2024-04-19
0.389314025640488,-1.49818801879883,287.214752197266,292.282287597656,3.93390655517578e-06,2024-04-20
-0.486405044794083,-2.61971664428711,279.724975585938,283.751098632812,0.000467856734758243,2024-04-21
-0.417198807001114,-1.92887115478516,275.589385986328,282.63037109375,2.94049573312805e-06,2024-04-22
1.91351759433746,2.17119145393372,276.625213623047,285.700622558594,0,2024-04-23
2.53106689453125,1.42757546901703,282.009552001953,288.892547607422,6.84062615619041e-05,2024-04-24
-0.991774260997772,-1.92240905761719,280.486694335938,289.129638671875,0,2024-04-25
-2.34918928146362,0.0433699302375317,282.434478759766,287.619018554688,1.43051147460938e-06,2024-04-26
-0.573783874511719,1.98132264614105,285.008178710938,290.936492919922,5.96046447753906e-08,2024-04-27
2.10135722160339,2.70779156684875,287.291656494141,292.798370361328,1.58945724137993e-07,2024-04-28
2.28976440429688,2.30981373786926,286.188598632812,293.826324462891,0,2024-04-29
2.2730610370636,2.86354184150696,287.490203857422,293.679260253906,6.8744025156775e-06,2024-04-30
0.618162155151367,-0.341789245605469,287.716583251953,294.667877197266,2.7815499947792e-07,2024-05-01
0.258061736822128,0.726533889770508,286.333435058594,295.772308349609,0,2024-05-02
1.22061538696289,1.62020874023438,289.633026123047,296.105499267578,1.43051147460938e-06,2024-05-03
-1.6896425485611,0.331293106079102,291.157379150391,292.047088623047,0.00108456611633301,2024-05-04
-1.03876554965973,0.858809769153595,291.476623535156,292.227142333984,0.00100994110107422,2024-05-05
0.94430285692215,2.08735346794128,292.402435302734,293.97021484375,0.000260730594163761,2024-05-06
2.92326426506042,1.60677146911621,291.817291259766,295.112945556641,0.000128587082144804,2024-05-07
